Season,TeamID,Elo
1985,1228,1611.3637808420465
1985,1328,1654.131116777416
1985,1106,1470.4826212428818
1985,1354,1459.3229406216778
1985,1112,1565.9542477552645
1985,1223,1563.3223154616273
1985,1165,1495.8246156766988
1985,1432,1493.6708698159794
1985,1192,1570.5122975281029
1985,1447,1430.5147297683716
1985,1218,1436.4998749511271
1985,1337,1605.0202925388774
1985,1226,1457.7231349767987
1985,1242,1609.2261315998505
1985,1268,1579.5753823920245
1985,1260,1655.9888321268907
1985,1133,1534.0064036227495
1985,1305,1589.5286786227682
1985,1424,1662.8614965869783
1985,1307,1523.8136043682362
1985,1288,1351.2305210794489
1985,1344,1437.0436301630227
1985,1438,1496.6039311948552
1985,1374,1573.0294920738213
1985,1411,1462.5078272862197
1985,1412,1589.823259134639
1985,1397,1515.5141806406123
1985,1417,1538.1812368761725
1985,1225,1381.714029448582
1985,1116,1568.3193943719566
1985,1368,1556.7771584651337
1985,1120,1562.705404010324
1985,1391,1461.9988314127402
1985,1135,1433.3359954269367
1985,1306,1392.1806474538034
1985,1143,1462.4291733915215
1985,1388,1502.1131972037836
1985,1153,1510.7534603197241
1985,1184,1506.5943977827772
1985,1159,1336.0019974693391
1985,1171,1376.6790142465213
1985,1216,1411.788709125959
1985,1173,1567.3843815401033
1985,1134,1474.4626099118218
1985,1177,1566.7856636393647
1985,1296,1459.950829828625
1985,1193,1449.762468852835
1985,1265,1529.031553323404
1985,1196,1535.6530208251813
1985,1416,1444.26422997666
1985,1206,1551.4190142580937
1985,1137,1542.8248561839612
1985,1210,1624.1832016400901
1985,1149,1488.0785842190355
1985,1211,1482.7193497680921
1985,1102,1401.3255913280873
1985,1234,1555.2291943657676
1985,1114,1547.61910360305
1985,1332,1490.84275674577
1985,1243,1484.8464242029702
1985,1317,1389.5616206875382
1985,1257,1497.95869804593
1985,1231,1513.6852676739074
1985,1277,1578.2597255737803
1985,1145,1551.9453901887262
1985,1278,1479.5081292360899
1985,1453,1347.181743903667
1985,1286,1460.7475606288456
1985,1186,1446.5329668255342
1985,1301,1584.5852142642955
1985,1144,1365.9857727265733
1985,1325,1602.9433965042576
1985,1384,1436.4896869524089
1985,1326,1576.250434286494
1985,1248,1494.3895914007496
1985,1287,1381.361132688319
1985,1339,1465.2864207279492
1985,1334,1405.9037065907646
1985,1365,1565.3770692911874
1985,1375,1497.299391832099
1985,1126,1418.0206986444537
1985,1403,1622.1786208500955
